gamma,n_0,A_V_max,M_gas,r_out
1.3707865168539326,1.2352165993694857,7.752343077128236e-05,49.220288851831704,100.16838045848239
1.393258426966292,1.2352165993694857,7.337651199043712e-05,28.41257624750452,76.91885448560797
1.4157303370786516,1.2352165993694857,6.961956004400619e-05,16.926066450826237,59.79531534828824
1.4382022471910112,1.2352165993694857,6.60162900329463e-05,9.437723803217292,44.229740906319826
1.4606741573033708,1.2352165993694857,6.318757320405947e-05,6.957014200568989,38.872223703662534
1.4831460674157304,1.2352165993694857,6.052247321507015e-05,5.031383927484054,33.60373711754666
1.5056179775280898,1.2352165993694857,5.765859377523937e-05,2.9563665383064732,25.169294749051154
1.5280898876404494,1.2352165993694857,5.475413450099777e-05,1.589778912195171,17.595798392275046
1.550561797752809,1.2352165993694857,5.3223722488430175e-05,1.6054091829892583,18.778763915584996
1.5730337078651684,1.2352165993694857,5.055519086054591e-05,0.8529936719352175,12.814433534665538
1.595505617977528,1.2352165993694857,4.895841750266061e-05,0.7371460124562742,12.203779502197113
1.6179775280898876,1.2352165993694857,4.736297774378975e-05,0.6104015979488725,11.25069705918324
1.6404494382022472,1.2352165993694857,4.547876500377161e-05,0.41947644603583756,9.024632086319716
1.6629213483146068,1.2352165993694857,4.40135788176115e-05,0.3418542199665467,8.158327021137216
1.6853932584269662,1.2352165993694857,4.2549595976893116e-05,0.2699716033320471,7.178077821955661
1.7078651685393258,1.2352165993694857,4.150782777216401e-05,0.2540502522057428,7.191929020969425
1.7303370786516854,1.2352165993694857,4.0140982291484384e-05,0.19835580203731268,6.23082058835384
1.7528089887640448,1.2352165993694857,3.8774136810804756e-05,0.15183136867300562,5.289695488183143
1.7752808988764044,1.2352165993694857,3.7666301441587486e-05,0.12856947850015582,4.843009132403518
1.797752808988764,1.2352165993694857,3.655846607237022e-05,0.10694725942008786,4.35736064724683
1.8202247191011236,1.2352165993694857,3.5421433925601104e-05,0.08663370267532916,3.822824763107413
